index,d,h
-4,0.12026034783557098,0.22901229491899938
-3,0.11099507204113455,0.22229004162984445
-2,0.0940720651172677,0.2100118600106134
-1,0.07973805514413704,0.1996120783067037
0,0.076,0.1969
1,0.08093105146673396,0.1971465525733367
2,0.09983974547384253,0.19809198727369212
3,0.1221637120542626,0.19920818560271314
4,0.13438599076181704,0.19981929953809086
